label,n_seeds,retain_mean,retain_std,forget_mean,forget_std
Before Unlearning,0,0.8279,0.0,0.82,0.0
Fine-Tuning,3,0.9418888888888889,0.001527525231651948,0.05433333333333334,0.0061101009266077855
NegGrad+,3,0.38903703703703707,0.028419332085993728,0.0,0.0
Random Labels,3,0.934888888888889,0.001175889471584224,0.0,0.0
Bad-Teaching,3,0.8719259259259259,0.009141773157375185,0.28099999999999997,0.157
SCRUB,3,0.8858888888888888,0.0009094836413191446,0.38933333333333336,0.011590225767142484
MASUC (Ours),3,0.836037037037037,0.008472419548400285,0.09566666666666668,0.023028967265887833
Retrain (Gold Std.),3,0.8706296296296295,0.010937156814133861,0.0,0.0
